Unnamed: 0,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful,period
Essex,2,50.0%,2,50.0%,216,73.7%,77,26.3%,26,56.5%,20,43.5%,35,89.7%,4,10.3%,8,100.0%,0,0.0%,115,94.3%,7,5.7%,15,71.4%,6,28.6%,48,88.9%,6,11.1%,71,97.3%,2,2.7%,56,91.8%,5,8.2%,10,76.9%,3,23.1%,207,78.1%,58,21.9%,22,100.0%,Nov.csv 2018
Gloucestershire,1,100.0%,0,0.0%,71,78.9%,19,21.1%,5,100.0%,0,0.0%,11,91.7%,1,8.3%,2,66.7%,1,33.3%,57,93.4%,4,6.6%,8,88.9%,1,11.1%,18,81.8%,4,18.2%,34,94.4%,2,5.6%,14,93.3%,1,6.7%,3,75.0%,1,25.0%,55,94.8%,3,5.2%,8,100.0%,Nov.csv 2018
GreaterManchester,7,87.5%,1,12.5%,476,78.4%,131,21.6%,75,73.5%,27,26.5%,61,96.8%,2,3.2%,12,92.3%,1,7.7%,171,92.9%,13,7.1%,22,88.0%,3,12.0%,75,90.4%,8,9.6%,97,93.3%,7,6.7%,144,92.3%,12,7.7%,22,81.5%,5,18.5%,275,81.4%,63,18.6%,31,100.0%,Nov.csv 2018
Gwent,1,100.0%,0,0.0%,103,79.2%,27,20.8%,6,66.7%,3,33.3%,18,85.7%,3,14.3%,1,100.0%,0,0.0%,74,88.1%,10,11.9%,5,83.3%,1,16.7%,14,63.6%,8,36.4%,48,96.0%,2,4.0%,18,78.3%,5,21.7%,10,90.9%,1,9.1%,73,83.9%,14,16.1%,1,100.0%,Nov.csv 2018
Hampshire,4,100.0%,0,0.0%,302,83.0%,62,17.0%,41,93.2%,3,6.8%,25,92.6%,2,7.4%,5,100.0%,0,0.0%,228,94.6%,13,5.4%,18,90.0%,2,10.0%,42,95.5%,2,4.5%,74,92.5%,6,7.5%,66,85.7%,11,14.3%,12,80.0%,3,20.0%,200,90.9%,20,9.1%,17,100.0%,Nov.csv 2018
Hertfordshire,0,0.0%,1,100.0%,142,75.1%,47,24.9%,9,90.0%,1,10.0%,13,72.2%,5,27.8%,8,61.5%,5,38.5%,152,96.8%,5,3.2%,24,92.3%,2,7.7%,18,85.7%,3,14.3%,62,91.2%,6,8.8%,41,83.7%,8,16.3%,8,80.0%,2,20.0%,135,83.9%,26,16.1%,18,100.0%,Nov.csv 2018
Humberside,1,100.0%,0,0.0%,188,83.9%,36,16.1%,8,66.7%,4,33.3%,29,100.0%,0,0.0%,6,85.7%,1,14.3%,146,95.4%,7,4.6%,10,83.3%,2,16.7%,48,84.2%,9,15.8%,37,94.9%,2,5.1%,68,93.2%,5,6.8%,7,87.5%,1,12.5%,90,84.9%,16,15.1%,14,100.0%,Nov.csv 2018
Kent,10,58.8%,7,41.2%,359,84.1%,68,15.9%,35,85.4%,6,14.6%,20,90.9%,2,9.1%,9,100.0%,0,0.0%,142,92.2%,12,7.8%,40,88.9%,5,11.1%,53,79.1%,14,20.9%,101,95.3%,5,4.7%,56,71.8%,22,28.2%,32,88.9%,4,11.1%,173,92.5%,14,7.5%,32,100.0%,Nov.csv 2018
Lancashire,3,100.0%,0,0.0%,285,78.3%,79,21.7%,13,86.7%,2,13.3%,44,84.6%,8,15.4%,13,76.5%,4,23.5%,250,95.8%,11,4.2%,24,100.0%,0,0.0%,74,87.1%,11,12.9%,59,89.4%,7,10.6%,102,85.7%,17,14.3%,16,100.0%,0,0.0%,265,82.3%,57,17.7%,18,100.0%,Nov.csv 2018
Leicestershire,2,100.0%,0,0.0%,178,80.2%,44,19.8%,24,66.7%,12,33.3%,27,96.4%,1,3.6%,8,100.0%,0,0.0%,107,94.7%,6,5.3%,19,100.0%,0,0.0%,36,80.0%,9,20.0%,61,92.4%,5,7.6%,55,88.7%,7,11.3%,9,90.0%,1,10.0%,111,81.0%,26,19.0%,22,100.0%,Nov.csv 2018
Lincolnshire,1,100.0%,0,0.0%,146,85.9%,24,14.1%,6,85.7%,1,14.3%,16,94.1%,1,5.9%,1,25.0%,3,75.0%,122,92.4%,10,7.6%,7,77.8%,2,22.2%,17,89.5%,2,10.5%,44,93.6%,3,6.4%,46,90.2%,5,9.8%,11,73.3%,4,26.7%,155,76.0%,49,24.0%,7,100.0%,Nov.csv 2018
Merseyside,2,66.7%,1,33.3%,322,78.5%,88,21.5%,20,83.3%,4,16.7%,27,87.1%,4,12.9%,1,50.0%,1,50.0%,171,93.4%,12,6.6%,21,91.3%,2,8.7%,66,88.0%,9,12.0%,182,93.3%,13,6.7%,114,88.4%,15,11.6%,27,81.8%,6,18.2%,304,85.6%,51,14.4%,21,100.0%,Nov.csv 2018
Metropolitan and City,25,69.4%,11,30.6%,"1,530",70.5%,641,29.5%,159,68.2%,74,31.8%,190,83.0%,39,17.0%,82,78.1%,23,21.9%,766,84.7%,138,15.3%,226,86.3%,36,13.7%,215,81.4%,49,18.6%,939,91.9%,83,8.1%,431,75.3%,141,24.7%,178,87.7%,25,12.3%,959,75.5%,312,24.5%,240,100.0%,Nov.csv 2018
Norfolk,0,-,0,-,183,87.1%,27,12.9%,13,92.9%,1,7.1%,15,88.2%,2,11.8%,1,100.0%,0,0.0%,121,96.8%,4,3.2%,14,93.3%,1,6.7%,32,84.2%,6,15.8%,48,96.0%,2,4.0%,83,90.2%,9,9.8%,5,71.4%,2,28.6%,129,94.2%,8,5.8%,6,100.0%,Nov.csv 2018
Northamptonshire,1,100.0%,0,0.0%,135,81.8%,30,18.2%,5,100.0%,0,0.0%,9,81.8%,2,18.2%,4,66.7%,2,33.3%,58,89.2%,7,10.8%,6,66.7%,3,33.3%,29,93.5%,2,6.5%,22,95.7%,1,4.3%,30,100.0%,0,0.0%,7,87.5%,1,12.5%,103,89.6%,12,10.4%,18,100.0%,Nov.csv 2018
Northumbria,1,33.3%,2,66.7%,260,71.4%,104,28.6%,36,59.0%,25,41.0%,44,77.2%,13,22.8%,11,100.0%,0,0.0%,244,91.7%,22,8.3%,18,81.8%,4,18.2%,53,84.1%,10,15.9%,73,90.1%,8,9.9%,158,84.0%,30,16.0%,18,75.0%,6,25.0%,173,83.6%,34,16.4%,15,100.0%,Nov.csv 2018
North Wales,6,100.0%,0,0.0%,148,85.5%,25,14.5%,9,64.3%,5,35.7%,13,100.0%,0,0.0%,2,100.0%,0,0.0%,90,97.8%,2,2.2%,8,72.7%,3,27.3%,26,89.7%,3,10.3%,46,100.0%,0,0.0%,49,92.5%,4,7.5%,3,100.0%,0,0.0%,109,88.6%,14,11.4%,10,100.0%,Nov.csv 2018
North Yorkshire,0,0.0%,1,100.0%,100,77.5%,29,22.5%,6,75.0%,2,25.0%,15,88.2%,2,11.8%,1,50.0%,1,50.0%,92,92.0%,8,8.0%,9,100.0%,0,0.0%,20,66.7%,10,33.3%,25,89.3%,3,10.7%,37,88.1%,5,11.9%,10,100.0%,0,0.0%,78,85.7%,13,14.3%,8,100.0%,Nov.csv 2018
Nottinghamshire,6,100.0%,0,0.0%,274,82.3%,59,17.7%,40,74.1%,14,25.9%,27,87.1%,4,12.9%,6,75.0%,2,25.0%,160,94.1%,10,5.9%,14,82.4%,3,17.6%,36,87.8%,5,12.2%,102,90.3%,11,9.7%,101,91.0%,10,9.0%,21,84.0%,4,16.0%,159,94.1%,10,5.9%,18,100.0%,Nov.csv 2018
South Wales,1,100.0%,0,0.0%,354,78.0%,100,22.0%,25,83.3%,5,16.7%,28,84.8%,5,15.2%,2,40.0%,3,60.0%,235,92.9%,18,7.1%,21,91.3%,2,8.7%,72,92.3%,6,7.7%,133,95.0%,7,5.0%,129,92.8%,10,7.2%,24,82.8%,5,17.2%,243,91.4%,23,8.6%,11,100.0%,Nov.csv 2018
South Yorkshire,0,-,0,-,233,80.1%,58,19.9%,13,92.9%,1,7.1%,47,90.4%,5,9.6%,10,90.9%,1,9.1%,195,93.8%,13,6.3%,20,87.0%,3,13.0%,52,81.3%,12,18.8%,79,97.5%,2,2.5%,93,93.0%,7,7.0%,16,100.0%,0,0.0%,157,92.4%,13,7.6%,29,100.0%,Nov.csv 2018
Staffordshire,4,100.0%,0,0.0%,201,76.1%,63,23.9%,22,91.7%,2,8.3%,16,84.2%,3,15.8%,2,50.0%,2,50.0%,138,92.6%,11,7.4%,7,87.5%,1,12.5%,43,86.0%,7,14.0%,66,95.7%,3,4.3%,42,89.4%,5,10.6%,25,100.0%,0,0.0%,144,86.7%,22,13.3%,15,100.0%,Nov.csv 2018
Suffolk,0,-,0,-,139,88.5%,18,11.5%,12,92.3%,1,7.7%,13,100.0%,0,0.0%,2,100.0%,0,0.0%,51,98.1%,1,1.9%,2,100.0%,0,0.0%,17,94.4%,1,5.6%,45,91.8%,4,8.2%,35,92.1%,3,7.9%,10,83.3%,2,16.7%,100,90.9%,10,9.1%,4,100.0%,Nov.csv 2018
Surrey,0,-,0,-,129,80.6%,31,19.4%,15,78.9%,4,21.1%,9,90.0%,1,10.0%,4,100.0%,0,0.0%,65,97.0%,2,3.0%,21,75.0%,7,25.0%,18,94.7%,1,5.3%,36,94.7%,2,5.3%,25,92.6%,2,7.4%,8,100.0%,0,0.0%,132,86.8%,20,13.2%,15,100.0%,Nov.csv 2018
Sussex,0,-,0,-,223,77.4%,65,22.6%,20,66.7%,10,33.3%,31,93.9%,2,6.1%,5,71.4%,2,28.6%,98,90.7%,10,9.3%,22,78.6%,6,21.4%,34,82.9%,7,17.1%,57,87.7%,8,12.3%,48,85.7%,8,14.3%,15,93.8%,1,6.3%,176,89.8%,20,10.2%,28,100.0%,Nov.csv 2018
Thames Valley,0,-,0,-,339,80.5%,82,19.5%,45,73.8%,16,26.2%,52,89.7%,6,10.3%,11,68.8%,5,31.3%,202,91.4%,19,8.6%,36,80.0%,9,20.0%,57,89.1%,7,10.9%,137,94.5%,8,5.5%,106,82.8%,22,17.2%,16,88.9%,2,11.1%,283,86.5%,44,13.5%,12,100.0%,Nov.csv 2018
Warwickshire,1,100.0%,0,0.0%,59,72.0%,23,28.0%,9,69.2%,4,30.8%,10,90.9%,1,9.1%,5,100.0%,0,0.0%,46,100.0%,0,0.0%,7,100.0%,0,0.0%,10,100.0%,0,0.0%,10,100.0%,0,0.0%,20,87.0%,3,13.0%,4,100.0%,0,0.0%,65,85.5%,11,14.5%,9,100.0%,Nov.csv 2018
West Mercia,1,50.0%,1,50.0%,197,79.8%,50,20.2%,15,65.2%,8,34.8%,20,87.0%,3,13.0%,2,40.0%,3,60.0%,134,93.7%,9,6.3%,18,94.7%,1,5.3%,27,84.4%,5,15.6%,46,92.0%,4,8.0%,64,91.4%,6,8.6%,7,77.8%,2,22.2%,174,85.3%,30,14.7%,18,100.0%,Nov.csv 2018
West Midlands,9,100.0%,0,0.0%,669,82.4%,143,17.6%,62,80.5%,15,19.5%,69,89.6%,8,10.4%,55,91.7%,5,8.3%,500,93.3%,36,6.7%,68,88.3%,9,11.7%,98,87.5%,14,12.5%,235,93.6%,16,6.4%,256,84.2%,48,15.8%,42,91.3%,4,8.7%,298,90.3%,32,9.7%,48,100.0%,Nov.csv 2018
West Yorkshire,10,83.3%,2,16.7%,455,75.0%,152,25.0%,67,69.8%,29,30.2%,54,94.7%,3,5.3%,24,96.0%,1,4.0%,251,94.4%,15,5.6%,32,88.9%,4,11.1%,91,88.3%,12,11.7%,149,93.7%,10,6.3%,150,90.4%,16,9.6%,47,81.0%,11,19.0%,236,88.1%,32,11.9%,24,100.0%,Nov.csv 2018
Wiltshire,1,100.0%,0,0.0%,88,82.2%,19,17.8%,6,75.0%,2,25.0%,8,80.0%,2,20.0%,1,100.0%,0,0.0%,83,95.4%,4,4.6%,8,88.9%,1,11.1%,17,85.0%,3,15.0%,15,100.0%,0,0.0%,23,82.1%,5,17.9%,3,60.0%,2,40.0%,81,93.1%,6,6.9%,7,100.0%,Nov.csv 2018
National,89,90.8%,9,9.2%,"9,663",78.1%,"2,714",21.9%,"1,024",74.4%,352,25.6%,"1,139",86.7%,175,13.3%,346,82.2%,75,17.8%,"5,895",91.5%,546,8.5%,816,85.4%,139,14.6%,"1,673",87.0%,250,13.0%,"3,373",93.8%,223,6.2%,"3,185",86.2%,508,13.8%,716,85.7%,119,14.3%,"6,867",84.4%,"1,274",15.6%,994,100.0%,Sep.csv 2018
Avon and Somerset,2,100.0%,0,0.0%,260,76.5%,80,23.5%,48,70.6%,20,29.4%,34,87.2%,5,12.8%,5,100.0%,0,0.0%,147,93.0%,11,7.0%,23,92.0%,2,8.0%,32,86.5%,5,13.5%,78,95.1%,4,4.9%,73,88.0%,10,12.0%,18,81.8%,4,18.2%,178,86.8%,27,13.2%,36,100.0%,Sep.csv 2018
Bedfordshire,0,-,0,-,74,75.5%,24,24.5%,6,75.0%,2,25.0%,14,87.5%,2,12.5%,2,100.0%,0,0.0%,59,90.8%,6,9.2%,10,100.0%,0,0.0%,9,75.0%,3,25.0%,18,94.7%,1,5.3%,15,88.2%,2,11.8%,6,100.0%,0,0.0%,90,77.6%,26,22.4%,16,100.0%,Sep.csv 2018
Cambridgeshire,1,50.0%,1,50.0%,89,78.8%,24,21.2%,13,92.9%,1,7.1%,12,85.7%,2,14.3%,4,100.0%,0,0.0%,71,97.3%,2,2.7%,15,100.0%,0,0.0%,22,95.7%,1,4.3%,31,93.9%,2,6.1%,32,88.9%,4,11.1%,9,69.2%,4,30.8%,98,84.5%,18,15.5%,23,100.0%,Sep.csv 2018
Cheshire,0,-,0,-,262,80.9%,62,19.1%,18,64.3%,10,35.7%,19,95.0%,1,5.0%,2,66.7%,1,33.3%,109,94.0%,7,6.0%,10,100.0%,0,0.0%,32,86.5%,5,13.5%,70,98.6%,1,1.4%,128,92.1%,11,7.9%,9,100.0%,0,0.0%,178,86.8%,27,13.2%,15,100.0%,Sep.csv 2018
Cleveland,0,-,0,-,104,75.9%,33,24.1%,12,92.3%,1,7.7%,18,81.8%,4,18.2%,6,85.7%,1,14.3%,175,92.1%,15,7.9%,10,83.3%,2,16.7%,24,72.7%,9,27.3%,65,92.9%,5,7.1%,36,81.8%,8,18.2%,10,90.9%,1,9.1%,69,88.5%,9,11.5%,7,100.0%,Sep.csv 2018
Cumbria,0,-,0,-,85,83.3%,17,16.7%,2,66.7%,1,33.3%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,63,94.0%,4,6.0%,4,100.0%,0,0.0%,22,95.7%,1,4.3%,29,100.0%,0,0.0%,30,96.8%,1,3.2%,4,100.0%,0,0.0%,75,90.4%,8,9.6%,0,-,Sep.csv 2018
Derbyshire,1,100.0%,0,0.0%,170,85.4%,29,14.6%,13,92.9%,1,7.1%,21,80.8%,5,19.2%,5,100.0%,0,0.0%,120,90.2%,13,9.8%,10,90.9%,1,9.1%,40,88.9%,5,11.1%,54,94.7%,3,5.3%,44,88.0%,6,12.0%,14,82.4%,3,17.6%,99,89.2%,12,10.8%,12,100.0%,Sep.csv 2018
Devon and Cornwall,4,100.0%,0,0.0%,187,81.3%,43,18.7%,10,90.9%,1,9.1%,18,85.7%,3,14.3%,4,100.0%,0,0.0%,99,91.7%,9,8.3%,7,63.6%,4,36.4%,34,94.4%,2,5.6%,50,96.2%,2,3.8%,67,90.5%,7,9.5%,10,100.0%,0,0.0%,153,93.9%,10,6.1%,9,100.0%,Sep.csv 2018
Dorset,1,100.0%,0,0.0%,128,82.1%,28,17.9%,10,90.9%,1,9.1%,13,92.9%,1,7.1%,3,50.0%,3,50.0%,80,96.4%,3,3.6%,8,72.7%,3,27.3%,25,96.2%,1,3.8%,31,100.0%,0,0.0%,63,88.7%,8,11.3%,12,100.0%,0,0.0%,115,89.1%,14,10.9%,19,100.0%,Sep.csv 2018
Durham,0,-,0,-,104,81.3%,24,18.8%,2,100.0%,0,0.0%,17,85.0%,3,15.0%,2,50.0%,2,50.0%,89,89.0%,11,11.0%,4,57.1%,3,42.9%,25,78.1%,7,21.9%,16,94.1%,1,5.9%,26,81.3%,6,18.8%,6,85.7%,1,14.3%,70,89.7%,8,10.3%,10,100.0%,Sep.csv 2018
Dyfed Powys,0,-,0,-,58,80.6%,14,19.4%,0,0.0%,2,100.0%,6,100.0%,0,0.0%,1,100.0%,0,0.0%,48,96.0%,2,4.0%,2,66.7%,1,33.3%,22,95.7%,1,4.3%,38,97.4%,1,2.6%,22,91.7%,2,8.3%,4,100.0%,0,0.0%,74,89.2%,9,10.8%,2,100.0%,Sep.csv 2018
Essex,4,100.0%,0,0.0%,237,79.0%,63,21.0%,49,84.5%,9,15.5%,28,90.3%,3,9.7%,6,60.0%,4,40.0%,112,92.6%,9,7.4%,22,84.6%,4,15.4%,41,89.1%,5,10.9%,62,98.4%,1,1.6%,47,94.0%,3,6.0%,6,85.7%,1,14.3%,189,76.2%,59,23.8%,21,100.0%,Sep.csv 2018
Gloucestershire,1,100.0%,0,0.0%,73,84.9%,13,15.1%,1,33.3%,2,66.7%,13,92.9%,1,7.1%,2,100.0%,0,0.0%,46,93.9%,3,6.1%,3,75.0%,1,25.0%,18,94.7%,1,5.3%,31,100.0%,0,0.0%,18,81.8%,4,18.2%,2,50.0%,2,50.0%,58,95.1%,3,4.9%,11,100.0%,Sep.csv 2018
GreaterManchester,12,92.3%,1,7.7%,490,81.8%,109,18.2%,64,65.3%,34,34.7%,55,100.0%,0,0.0%,37,97.4%,1,2.6%,151,95.0%,8,5.0%,20,80.0%,5,20.0%,82,87.2%,12,12.8%,81,88.0%,11,12.0%,141,83.4%,28,16.6%,32,91.4%,3,8.6%,286,88.8%,36,11.2%,42,100.0%,Sep.csv 2018
Gwent,0,-,0,-,78,79.6%,20,20.4%,8,72.7%,3,27.3%,8,66.7%,4,33.3%,0,0.0%,6,100.0%,83,92.2%,7,7.8%,10,100.0%,0,0.0%,18,78.3%,5,21.7%,47,100.0%,0,0.0%,30,83.3%,6,16.7%,4,80.0%,1,20.0%,65,80.2%,16,19.8%,10,100.0%,Sep.csv 2018
Hampshire,1,100.0%,0,0.0%,296,80.2%,73,19.8%,35,81.4%,8,18.6%,34,89.5%,4,10.5%,7,87.5%,1,12.5%,159,95.8%,7,4.2%,17,100.0%,0,0.0%,40,88.9%,5,11.1%,56,100.0%,0,0.0%,68,89.5%,8,10.5%,19,100.0%,0,0.0%,184,89.3%,22,10.7%,24,100.0%,Sep.csv 2018
Hertfordshire,1,100.0%,0,0.0%,163,78.4%,45,21.6%,8,100.0%,0,0.0%,25,96.2%,1,3.8%,3,100.0%,0,0.0%,138,95.8%,6,4.2%,20,80.0%,5,20.0%,26,89.7%,3,10.3%,55,98.2%,1,1.8%,39,86.7%,6,13.3%,8,72.7%,3,27.3%,128,83.1%,26,16.9%,10,100.0%,Sep.csv 2018
Humberside,0,-,0,-,175,86.6%,27,13.4%,11,84.6%,2,15.4%,14,87.5%,2,12.5%,7,77.8%,2,22.2%,129,91.5%,12,8.5%,13,86.7%,2,13.3%,36,87.8%,5,12.2%,40,85.1%,7,14.9%,63,94.0%,4,6.0%,13,92.9%,1,7.1%,67,82.7%,14,17.3%,20,100.0%,Sep.csv 2018
Kent,4,100.0%,0,0.0%,310,80.1%,77,19.9%,24,85.7%,4,14.3%,23,85.2%,4,14.8%,12,70.6%,5,29.4%,139,91.4%,13,8.6%,38,88.4%,5,11.6%,63,87.5%,9,12.5%,80,96.4%,3,3.6%,56,84.8%,10,15.2%,28,90.3%,3,9.7%,162,89.0%,20,11.0%,40,100.0%,Sep.csv 2018
Lancashire,0,-,0,-,254,76.0%,80,24.0%,22,95.7%,1,4.3%,36,94.7%,2,5.3%,8,88.9%,1,11.1%,244,93.1%,18,6.9%,19,73.1%,7,26.9%,55,91.7%,5,8.3%,60,96.8%,2,3.2%,106,90.6%,11,9.4%,17,94.4%,1,5.6%,231,84.6%,42,15.4%,12,100.0%,Sep.csv 2018
